"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","setUpTokenOnce","Default suite","Sat Jul 26 12:08:47 IST 2025","broken","Sat Jul 26 12:08:47 IST 2025","com.bookstore.api.tests.health.HelathCheckTest","Default test","com.bookstore.api.tests.health.HelathCheckTest","setUpTokenOnce"
"","21","deleteBookInvalidTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:18 IST 2025","passed","Sun Jul 27 20:25:18 IST 2025","com.bookstore.api.tests.book.DeleteBookTest","Book API Test - Delete Book","com.bookstore.api.tests.book.DeleteBookTest","deleteBookInvalidTest"
"Getting the Book from Test Data... ","16","getABookTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.GetBookTest","Book API Test - Get Book","com.bookstore.api.tests.book.GetBookTest","getABookTest"
"CreateBook the Book... ","74","createABookDataDrivenTest","Default suite","Sat Jul 26 07:00:51 IST 2025","broken","Sat Jul 26 07:00:51 IST 2025","com.bookstore.api.tests.book.CreateBookTest","Default test","com.bookstore.api.tests.book.CreateBookTest","createABookDataDrivenTest"
"","17","getBookNoAuthTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.GetBookTest","Book API Test - Get Book","com.bookstore.api.tests.book.GetBookTest","getBookNoAuthTest"
"","69","getBookAlphaNumeric","FAST-API: BookStore API – Regression Test Suite","Fri Jul 25 23:01:40 IST 2025","passed","Fri Jul 25 23:01:40 IST 2025","com.bookstore.api.tests.book.GetBookTest","Book API Test - Get Book","com.bookstore.api.tests.book.GetBookTest","getBookAlphaNumeric"
"","20","createValidBookNoAuthTokenTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.CreateBookTest","Book API Test - Create Book","com.bookstore.api.tests.book.CreateBookTest","createValidBookNoAuthTokenTest"
"","236","loginUserTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:19 IST 2025","passed","Sun Jul 27 20:25:20 IST 2025","com.bookstore.api.tests.user.LoginUserTest","User API Test - Login","com.bookstore.api.tests.user.LoginUserTest","loginUserTest"
"","202","getAllBooksSchemaTest","FAST-API: BookStore API – Regression Test Suite","Fri Jul 25 23:01:43 IST 2025","passed","Fri Jul 25 23:01:43 IST 2025","com.bookstore.api.schema.tests.BookSchemaTest","Schema Validation Test","com.bookstore.api.schema.tests.BookSchemaTest","getAllBooksSchemaTest"
"","530","createUser","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:19 IST 2025","passed","Sun Jul 27 20:25:19 IST 2025","com.bookstore.api.tests.user.CreateUserTest","User API Test - Create User","com.bookstore.api.tests.user.CreateUserTest","createUser"
